fips,rate
20025,233.53
20027,224.54
20029,224.54
20031,223.29
20033,233.53
20035,212.35
20037,214.63
20039,249.44
20041,224.54
20043,223.29
20045,223.29
20047,233.53
20049,212.35
20051,249.44
20053,224.54
20055,233.53
20057,233.53
20059,223.29
20061,224.54
20063,249.44
20065,249.44
20067,233.53
20069,233.53
20071,249.44
20073,212.35
20075,233.53
20077,212.35
20079,212.35
20081,233.53
20083,233.53
20085,223.29
20087,223.29
20089,224.54
20091,218.55
20093,233.53
20095,212.35
20097,233.53
20099,214.63
20101,249.44
20103,218.55
20105,224.54
20107,223.29
20109,249.44
20111,223.29
20113,212.35
20115,212.35
20117,223.29
20119,233.53
20121,218.55
20123,224.54
20125,212.35
20127,224.54
20129,233.53
20131,223.29
20133,214.63
20135,249.44
20137,249.44
20139,223.29
20141,249.44
20143,224.54
20145,233.53
20147,249.44
20149,223.29
20151,233.53
20153,249.44
20155,212.35
20157,224.54
20159,212.35
20161,224.54
20163,249.44
20165,249.44
20167,249.44
20169,224.54
20171,249.44
20173,212.35
20175,233.53
20177,223.29
20179,249.44
20181,249.44
20183,249.44
20185,233.53
20187,233.53
20189,233.53
20191,212.35
20193,249.44
20195,249.44
20197,223.29
20199,249.44
20201,224.54
20203,249.44
20205,212.35
20207,214.63
20209,218.55
21001,
21003,
21005,
21007,
21009,
21011,
21013,
21015,
21017,
21019,
21021,
21023,
21025,
21027,
21029,
21031,
21033,
21035,
21037,
21039,
21041,
21043,
21045,
21047,
21049,
21051,
21053,
21055,
21057,
21059,
21061,
21063,
21065,
21067,
21069,
21071,
21073,
21075,
21077,
21079,
21081,
21083,
21085,
21087,
21089,
21091,
21093,
21095,
21097,
21099,
21101,
21103,
21105,
21107,
21109,
21111,
21113,
21115,
21117,
21119,
21121,
21123,
21125,
21127,
21129,
21131,
21133,
21135,
21137,
21139,
21141,
21143,
21145,
21147,
21149,
21151,
21153,
21155,
21157,
21159,
21161,
21163,
21165,
21167,
21169,
21171,
21173,
21175,
21177,
21179,
21181,
21183,
21185,
21187,
21189,
21191,
21193,
21195,
21197,
21199,
21201,
21203,
21205,
21207,
21209,
21211,
21213,
21215,
21217,
21219,
21221,
21223,
21225,
21227,
21229,
21231,
21233,
21235,
21237,
21239,
22001,315.33
22003,303.94
22005,300.63
22007,307.40
22009,329.99
22011,303.94
22013,300.52
22015,300.52
22017,300.52
22019,303.94
22021,331.50
22023,303.94
22025,329.99
22027,300.52
22029,329.99
22031,300.52
22033,300.63
22035,331.50
22037,300.63
22039,315.33
22041,331.50
22043,329.99
22045,315.33
22047,300.63
22049,331.50
22051,288.15
22053,303.94
22055,315.33
22057,307.40
22059,329.99
22061,331.50
22063,300.63
22065,331.50
22067,331.50
22069,300.52
22071,288.15
22073,331.50
22075,288.15
22077,300.63
22079,329.99
22081,300.52
22083,331.50
22085,300.52
22087,288.15
22089,288.15
22091,300.63
22093,288.15
22095,288.15
22097,315.33
22099,315.33
22101,315.33
22103,288.15
22105,300.63
22107,331.50
22109,307.40
22111,331.50
22113,315.33
22115,329.99
22117,300.63
22119,300.52
22121,300.63
22123,331.50
22125,300.63
22127,329.99
23001,332.78
23003,384.98
23005,274.87
23007,332.78
23009,384.98
23011,311.43
23013,311.43
23015,311.43
23017,311.43
23019,332.78
23021,332.78
23023,274.87
23025,332.78
23027,332.78
23029,384.98
23031,274.87
24001,
24003,
24005,
24009,
24011,
24013,
24015,
24017,
24019,
24021,
24023,
24025,
24027,
24029,
24031,
24033,
24035,
24037,
24039,
24041,
24043,
24045,
24047,
24510,
26001,265.54
26003,340.20
26005,267.35
26007,265.54
26009,249.65
26011,250.33
26013,340.20
26015,267.35
26017,250.33
26019,249.65
26021,286.08
26023,283.68
26025,283.68
26027,286.08
26029,249.65
26031,265.54
26033,265.54
26035,250.33
